name,username,password,phone,email,team
eyal,admin,admin,1241242,admin@gmail.com,on
gal naaman,galna,123456,95263952,gal@gmail.com,on
daniel,dan1,3124214,04723587,daniel@gmail.com,on
ohad yehiely,ohady,123456,2336436,ohad@gmail.com,on
alona yehiely,alonay,2323,34563456,alona@gmail.com,on
nadav levy,nadav1,123456,965734572365,nadav@gmail.com,on
moshe,moshe1,3532543,7562345273,moshe@gmail.com,on
rgbergb,moshe12,1111,3425423,moshe1@gmail.com,on
ofir,ofir12,123,423453,ogir@gmaol.com,on
dean,katalan1,1231,234234,dean@gmail.com,on
porazwellko,wellko1,4321,253453,poraz@gmail.com,on
moshe,menahem,12345,5352352,eyal@gmail.com,on
ofir tal,ofirtal,123454321,45235646,ofir@gh.com,on
gal,gal12,523452,6345634,gal@fhh.com,Monkeys
